user,system,iowait
64.3,0.0,0.0
64.4,0.0,0.0
64.4,0.0,0.0
64.3,0.0,0.0
64.4,0.0,0.0
64.1,0.2,0.0
62.6,0.0,0.0
64.3,0.0,0.0
64.3,0.0,0.0
64.4,0.0,0.0
64.1,0.0,0.0
64.3,0.0,0.0
64.4,0.0,0.0
64.4,0.0,0.0
64.2,0.0,0.0
64.4,0.0,0.0
64.2,0.0,0.0
64.4,0.0,0.0
61.9,0.0,0.0
64.4,0.0,0.0
65.0,0.1,0.0
64.4,0.0,0.0
64.3,0.0,0.0
64.3,0.0,0.0
64.0,0.1,0.0
64.5,0.0,0.0
64.3,0.0,0.0
